Faculty,Course_Id,Course Name,CRN,Lec Lab Tut,Section,Tme_start,Time_end,MTWTF,Course Description,Seats Available,Enrollment,Waitlist Seats,Waitlist Enrolled,Term,Cedit Hours,Location,Instructor ,Tuition,Campus
AGRI,5260,Special Topics-Plant Pathology,16714,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5260,Special Topics-Plant Pathology,22410,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5280,Dir Std. in Pest Mgmt,16715,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5280,Dir Std. in Pest Mgmt,22412,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5310,Special Topics-Applied Etholgy,16716,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5310,Special Topics-Applied Etholgy,22413,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5320,Special Topics-Anml Nutrition,22414,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5340,Special Topics-Anml Physiology,22415,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5350,Animal Research Methods,16720,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5360,Protein Nutrition,18411,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5365,Vitamins in Animal Nutrition,22417,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5370,Special Topics-Anml Breed&Gen,16721,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5370,Special Topics-Anml Breed&Gen,22418,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5380,Quantitative Genetics,22419,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5390,Molecular Genetic Analysis Pop,16722,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5390,Molecular Genetic Analysis Pop,22420,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5400,Dr. Std. in Soil Science,24181,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5450,Enviro Soil Chemistry,22421,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5460,Special Topics-Soil&Water Mgmt,16724,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5460,Special Topics-Soil&Water Mgmt,22422,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5480,Dir St. in Analyt Instrument,16725,Lec,N/A,1505,1655,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5510,Special Topics-Plant Breeding,23813,Lab,B01,1435,1625,00110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5510,Special Topics-Plant Breeding,23812,Lec,N/A,1135,1255,10100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5540,Special Topics-Crop Physiology,16728,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5570,Special Topics-Agri Biotech,16729,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5570,Special Topics-Agri Biotech,22424,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5610,Special Topics-Anml Prd Tech,16730,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5630,Intermediate Statistical Metho,16732,Lab,B01,935,1025,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5630,Intermediate Statistical Metho,16731,Lec,N/A,1035,1125,01101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5650,Applied Weed Science,24027,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5660,Food Microbiology,18443,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5700,Commun Skills for Scientists,16733,Lec,N/A,1135,1255,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5700,Commun Skills for Scientists,22425,Lec,N/A,1005,1125,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5700,Commun Skills for Scientists,16734,Lab,B01,1135,1225,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5705,X Graduate Module Class II,17544,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5705,Y Graduate Module Class II,23178,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5710,X Graduate Module Class,17545,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5710,Y Graduate Module Class,23179,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5710,Graduate Module Class,24223,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5720,Applied Stats & Expermtl Dsgn,22426,Lec,N/A,935,1025,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5730,Dir St in Food & BioProduct,16735,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5730,Dir St in Food & BioProduct,22427,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5740,Advcd Studies Food Chemistry,22428,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5750,Biotechnology,16736,Lec,N/A,1435,1555,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5770,Mathematical Mod for Biosystem,16738,Tut,T01,1435,1625,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5770,Mathematical Mod for Biosystem,16737,Lec,N/A,1335,1555,11000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5781,Adv Topics-Consumer Behavior,24215,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5782,Res Design Agri-Bus Research,18436,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,9000,Master's Thesis,16739,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,9000,Master's Thesis,22429,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2000,Organic Field Crop Mgmt,20038,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2000,Organic Field Crop Mgmt,20039,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2001,Cereal-Based Cropping Systems,14103,Lec,N/A,835,955,00101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2001,Cereal-Based Cropping Systems,14104,Lab,B01,1235,1425,11000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2002,Forage-Based Cropping Systems,20041,Lab,B01,1235,1425,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2002,Forage-Based Cropping Systems,20042,Lab,B02,835,1025,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2002,Forage-Based Cropping Systems,20040,Lec,N/A,1305,1425,10100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2008,Potato Production,20044,Lab,B01,1535,1725,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRN,2008,Potato Production,20043,Lec,N/A,1135,1225,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1010,Basic Human Anatomy,14106,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1010,Basic Human Anatomy,14107,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1010,Basic Human Anatomy,20045,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1010,Basic Human Anatomy,14105,Lec,N/A,1135,1225,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1020,Basic Human Anatomy,14108,Lec,N/A,1535,1625,11111,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1040,Basic Human Anatomy,14109,Lec,N/A,835,925,10101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,1040,Basic Human Anatomy,14110,Tut,T01,935,1125,10101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,2160,Intro to Human Histology,14112,Lab,B01,1435,1625,00011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,2160,Intro to Human Histology,14111,Lec,N/A,835,925,00101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,3010,Introductory Human Anatomy,20046,Lec,N/A,1035,1125,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,4010,Advanced Human Anatomy,23791,Lec,N/A,1035,1125,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,4010,Advanced Human Anatomy,23882,Lab,B01,1135,1225,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5063,Neurobio Auton Nerv Sys,22430,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5100,Y Human Neuroanatomy,23180,Lec,N/A,905,1055,11001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5100,X Human Neuroanatomy,17547,Lab,B01,1435,1525,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5100,X Human Neuroanatomy,17546,Lec,N/A,1035,1125,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5130,X Mammalian Embryology,17548,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5130,Y Mammalian Embryology,23181,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5162,Gross Anatomy Head & Neck,16740,Lec,N/A,935,1025,00111,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5162,Gross Anatomy Head & Neck,16741,Lab,B01,1035,1225,00111,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5170,Special Topics,16742,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5170,Spec Topics: Independant Study,22431,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5217,Functional Human Anatomy,16743,Lec,N/A,1335,1525,11100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,5217,Functional Human Anatomy,16744,Lab,B01,1435,1625,11111,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,9000,Master's Thesis,16745,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,9000,Master's Thesis,22432,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,9530,Doctoral Thesis,16746,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANAT,9530,Doctoral Thesis,22433,Ths,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0020,Dairy Industry I,14113,Lec,N/A,835,925,00110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0021,Dairy Industry II,20047,Lec,N/A,1335,1425,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0022,Equine Industry,14114,Lec,N/A,1435,1525,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0112,Animal Biology and Mgmt I,14115,Lec,N/A,1335,1425,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0112,Animal Biology and Mgmt I,14116,Lab,B01,1135,1325,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0112,Animal Biology and Mgmt I,14117,Lab,B02,935,1125,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0113,Principles An WelfareHusbandry,20048,Lec,N/A,835,925,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0113,Principles An WelfareHusbandry,20049,Lab,B01,1135,1325,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0114,An Feed & Nutrient Mgmt,20051,Lec,N/A,1005,1125,10110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0114,An Feed & Nutrient Mgmt,20052,Lab,B01,1235,1425,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0114,An Feed & Nutrient Mgmt,20053,Lab,B02,1435,1625,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0204,Dairy Herd Health & Nut Mgmt,20054,Lec,N/A,1435,1725,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0204,Dairy Herd Health & Nut Mgmt,20055,Lab,B01,1435,1625,10010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0205,Opt Bovine Repro & Genetic Per,20056,Lec,N/A,1435,1555,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0205,Opt Bovine Repro & Genetic Per,20057,Lab,B01,935,1125,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0206,Mng Dairy Milkng Sys & Housing,14119,Lab,B01,1435,1725,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0206,Mng Dairy Milkng Sys & Housing,14118,Lec,N/A,835,1125,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0213,Equine Growth and Nutrition,14121,Lab,B01,935,1125,00011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0213,Equine Growth and Nutrition,14120,Lec,N/A,1435,1555,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0215,Equine Facilities Management,20060,Lab,B01,935,1125,10010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0215,Equine Facilities Management,20059,Lec,N/A,1435,1555,10110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0216,Equine Health & Fitness,20062,Lab,B01,1135,1325,10010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0216,Equine Health & Fitness,20061,Lec,N/A,1605,1725,10110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,0219,Equine Behaviour and Learning,20063,Lec,N/A,1235,1325,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2002,The Horse: Its Biology and Use,14122,Lec,N/A,1035,1125,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2002,The Horse: Its Biology and Use,14123,Lab,B01,1135,1325,00110,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2003,Companion Animal Behaviour,20064,Lec,N/A,1335,1425,11011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2004,Organic Livestock Production,20065,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2004,Organic Livestock Production,20066,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2005,Animal Agriculture,14125,Lab,B01,1235,1425,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2005,Animal Agriculture,14126,Lab,B02,835,1025,11000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2005,Animal Agriculture,14127,Lab,B03,1235,1425,11000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2005,Animal Agriculture,14124,Lec,N/A,1435,1525,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2006,"Equine Health,Genetics,Reprod",14129,Lab,B01,1235,1425,00010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2006,"Equine Health,Genetics,Reprod",14128,Lec,N/A,1005,1125,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2007,Beef Production and Management,18257,Lab,B01,1235,1425,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,2007,Beef Production and Management,14130,Lec,N/A,1435,1555,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3000,Animal Breeding,20067,Lec,N/A,1135,1255,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3000,Animal Breeding,20068,Lab,B01,1135,1325,10000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3000,Animal Breeding,20069,Lab,B02,1535,1725,11001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3001,Animal Health,20072,Lab,B02,1235,1425,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3001,Animal Health,20071,Lab,B01,935,1125,01000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3001,Animal Health,20073,Lab,B03,935,1125,10000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3001,Animal Health,20070,Lec,N/A,835,925,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3002,Domestic Animal Behaviour,14132,Lab,B01,835,1025,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3002,Domestic Animal Behaviour,14131,Lec,N/A,1135,1255,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3003,Eggs & Dairy Products,14134,Lab,B01,935,1125,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3003,Eggs & Dairy Products,14135,Lab,B02,935,1125,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3003,Eggs & Dairy Products,14133,Lec,N/A,835,955,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3004,Meat Science,20076,Lab,B02,1235,1425,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3004,Meat Science,20075,Lab,B01,935,1125,10000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3004,Meat Science,20074,Lec,N/A,1135,1225,11010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3005,Animal Welfare,23886,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3005,Animal Welfare,20078,Lab,B01,1135,1425,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3005,Animal Welfare,20077,Lec,N/A,1435,1555,10100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3006,Companion Animal Biology,20079,Lec,N/A,1305,1425,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3006,Companion Animal Biology,20080,Lab,B01,1535,1725,10010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,3006,Companion Animal Biology,20081,Lab,B02,1435,1625,11001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,4003,Avian Production Systems,20083,Lab,B01,835,1125,01000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,4003,Avian Production Systems,20082,Lec,N/A,1305,1425,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ANSC,4004,Ecol of Milk Prod in Ruminants,14137,Lab,B01,1235,1425,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
